DATE,VIX
27/03/2017,12.5
28/03/2017,11.53
29/03/2017,11.42
30/03/2017,11.54
31/03/2017,12.37
03/04/2017,12.38
04/04/2017,11.79
05/04/2017,12.89
06/04/2017,12.39
07/04/2017,12.87
10/04/2017,14.05
11/04/2017,15.07
12/04/2017,15.77
13/04/2017,15.96
17/04/2017,14.66
18/04/2017,14.42
19/04/2017,14.93
20/04/2017,14.15
21/04/2017,14.63
24/04/2017,10.84
25/04/2017,10.76
26/04/2017,10.85
27/04/2017,10.36
28/04/2017,10.82
01/05/2017,10.11
02/05/2017,10.59
03/05/2017,10.68
04/05/2017,10.46
05/05/2017,10.57
08/05/2017,9.77
09/05/2017,9.96
10/05/2017,10.21
11/05/2017,10.6
12/05/2017,10.4
15/05/2017,10.42
16/05/2017,10.65
17/05/2017,15.59
18/05/2017,14.66
19/05/2017,12.04
22/05/2017,10.93
23/05/2017,10.72
24/05/2017,10.02
25/05/2017,9.99
26/05/2017,9.81
30/05/2017,10.38
31/05/2017,10.41
01/06/2017,9.89
02/06/2017,9.75
05/06/2017,10.07
06/06/2017,10.45
07/06/2017,10.39
08/06/2017,10.16
09/06/2017,10.7
12/06/2017,11.46
13/06/2017,10.42
14/06/2017,10.64
15/06/2017,10.9
16/06/2017,10.38
19/06/2017,10.37
20/06/2017,10.86
21/06/2017,10.75
22/06/2017,10.48
23/06/2017,10.02
26/06/2017,9.9
27/06/2017,11.06
28/06/2017,10.03
29/06/2017,11.44
30/06/2017,11.18
03/07/2017,11.22
05/07/2017,11.07
06/07/2017,12.54
07/07/2017,11.19
10/07/2017,11.11
11/07/2017,10.89
12/07/2017,10.3
13/07/2017,9.9
14/07/2017,9.51
17/07/2017,9.82
18/07/2017,9.89
19/07/2017,9.79
20/07/2017,9.58
21/07/2017,9.36
24/07/2017,9.43
25/07/2017,9.43
26/07/2017,9.6
27/07/2017,10.11
28/07/2017,10.29
31/07/2017,10.26
01/08/2017,10.09
02/08/2017,10.28
03/08/2017,10.44
04/08/2017,10.03
07/08/2017,9.93
08/08/2017,10.96
09/08/2017,11.11
10/08/2017,16.04
11/08/2017,15.51
14/08/2017,12.33
15/08/2017,12.04
16/08/2017,11.74
17/08/2017,15.55
18/08/2017,14.26
21/08/2017,13.19
22/08/2017,11.35
23/08/2017,12.25
24/08/2017,12.23
25/08/2017,11.28
28/08/2017,11.32
29/08/2017,11.7
30/08/2017,11.22
31/08/2017,10.59
01/09/2017,10.13
05/09/2017,12.23
06/09/2017,11.63
07/09/2017,11.55
08/09/2017,12.12
11/09/2017,10.73
12/09/2017,10.58
13/09/2017,10.5
14/09/2017,10.44
15/09/2017,10.17
18/09/2017,10.15
19/09/2017,10.18
20/09/2017,9.78
21/09/2017,9.67
22/09/2017,9.59
25/09/2017,10.21
26/09/2017,10.17
27/09/2017,9.87
28/09/2017,9.55
29/09/2017,9.51
02/10/2017,9.45
03/10/2017,9.51
04/10/2017,9.63
05/10/2017,9.19
06/10/2017,9.65
09/10/2017,10.33
10/10/2017,10.08
11/10/2017,9.85
12/10/2017,9.91
13/10/2017,9.61
16/10/2017,9.91
17/10/2017,10.31
18/10/2017,10.07
19/10/2017,10.05
20/10/2017,9.97
23/10/2017,11.07
24/10/2017,11.16
25/10/2017,11.23
26/10/2017,11.3
27/10/2017,9.8
30/10/2017,10.5
31/10/2017,10.18
01/11/2017,10.2
02/11/2017,9.93
03/11/2017,9.14
06/11/2017,9.4
07/11/2017,9.89
08/11/2017,9.78
09/11/2017,10.5
10/11/2017,11.29
13/11/2017,11.5
14/11/2017,11.59
15/11/2017,13.13
16/11/2017,11.76
17/11/2017,11.43
20/11/2017,10.65
21/11/2017,9.73
22/11/2017,9.88
24/11/2017,9.67
27/11/2017,9.87
28/11/2017,10.03
29/11/2017,10.7
30/11/2017,11.28
01/12/2017,11.43
04/12/2017,11.68
05/12/2017,11.33
06/12/2017,11.02
07/12/2017,10.16
08/12/2017,9.58
11/12/2017,9.34
12/12/2017,9.92
13/12/2017,10.18
14/12/2017,10.49
15/12/2017,9.42
18/12/2017,9.53
19/12/2017,10.03
20/12/2017,9.72
21/12/2017,9.62
22/12/2017,9.9
26/12/2017,10.25
27/12/2017,10.47
28/12/2017,10.18
29/12/2017,11.04
02/01/2018,9.77
03/01/2018,9.15
04/01/2018,9.22
05/01/2018,9.22
08/01/2018,9.52
09/01/2018,10.08
